大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,アーモンドミルク,144.0,1.1,7.4,19.7,0.4,3.0,16.7,152.0,65.0,0.0,4.7,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,オーツミルク,176.0,2.3,6.3,27.8,0.3,0.9,26.9,119.0,96.0,0.0,0.6,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジョイフルメドレー ティー ラテ,ブレべ,462.0,4.8,38.3,24.5,0.2,0.0,24.5,92.0,244.0,0.4,24.3,50.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,ミルク,320.0,11.4,16.3,32.1,0.3,0.4,31.8,138.0,592.0,0.3,9.9,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,低脂肪タイプ,284.0,11.4,11.7,33.1,0.5,0.4,32.8,215.0,648.0,0.2,7.1,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,無脂肪乳,247.0,11.4,7.0,34.1,0.7,0.4,33.8,293.0,705.0,0.1,4.4,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,豆乳（調製豆乳）,308.0,10.8,18.3,25.2,0.6,0.9,24.3,199.0,615.0,0.1,5.7,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,アーモンドミルク,259.0,2.4,18.2,24.0,0.6,5.2,18.7,248.0,192.0,0.1,11.6,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,オーツミルク,312.0,4.5,16.4,37.3,0.5,1.8,35.4,195.0,243.0,0.1,5.0,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（ホット）,ブレべ,779.0,8.5,68.7,31.8,0.4,0.4,31.5,151.0,485.0,0.7,43.7,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（アイス）,ミルク,231.0,6.5,11.6,25.3,0.2,0.4,25.0,79.0,382.0,0.2,7.2,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（アイス）,低脂肪タイプ,212.0,6.5,9.1,25.9,0.3,0.4,25.5,121.0,413.0,0.1,5.7,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（アイス）,無脂肪乳,192.0,6.5,6.6,26.4,0.4,0.4,26.0,163.0,443.0,0.1,4.2,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（アイス）,豆乳（調製豆乳）,225.0,6.1,12.7,21.6,0.3,0.7,20.9,112.0,395.0,0.1,4.9,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（アイス）,アーモンドミルク,199.0,1.6,12.6,20.9,0.4,3.0,17.9,138.0,167.0,0.1,8.0,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（アイス）,オーツミルク,227.0,2.7,11.6,28.1,0.3,1.1,26.9,110.0,194.0,0.1,4.5,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ジンジャーブレッド ラテ（アイス）,ブレべ,478.0,4.9,39.9,25.2,0.2,0.4,24.8,86.0,325.0,0.4,25.3,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（ホット）,ミルク,315.0,12.8,11.1,41.4,0.5,0.5,41.0,230.0,665.0,0.3,6.4,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（ホット）,低脂肪タイプ,277.0,12.8,6.3,42.5,0.8,0.5,42.0,310.0,724.0,0.2,3.6,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（ホット）,無脂肪乳,239.0,12.8,1.5,43.5,1.0,0.5,43.0,389.0,782.0,0.0,0.7,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（ホット）,豆乳（調製豆乳）,302.0,12.2,13.2,34.3,0.9,1.1,33.3,293.0,689.0,0.0,2.1,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（ホット）,アーモンドミルク,252.0,3.5,13.0,33.0,0.9,5.5,27.5,343.0,254.0,0.0,8.1,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（ホット）,オーツミルク,306.0,5.6,11.1,46.7,0.7,2.0,44.8,288.0,306.0,0.0,1.4,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（ホット）,ブレべ,787.0,9.8,65.0,41.1,0.6,0.5,40.7,243.0,555.0,0.7,41.2,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（アイス）,ミルク,216.0,7.3,5.9,33.9,0.4,0.5,33.4,165.0,433.0,0.1,3.4,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（アイス）,低脂肪タイプ,197.0,7.3,3.4,34.4,0.5,0.5,33.9,205.0,462.0,0.1,1.9,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（アイス）,無脂肪乳,178.0,7.3,1.0,34.9,0.6,0.5,34.4,245.0,492.0,0.0,0.5,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（アイス）,豆乳（調製豆乳）,210.0,7.0,6.9,30.3,0.6,0.8,29.5,196.0,445.0,0.0,1.2,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（アイス）,アーモンドミルク,184.0,2.6,6.8,29.6,0.6,3.0,26.7,222.0,226.0,0.0,4.2,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（アイス）,オーツミルク,212.0,3.7,5.9,36.5,0.5,1.2,35.3,194.0,252.0,0.0,0.8,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,クレーム ブリュレ ラテ（アイス）,ブレべ,453.0,5.8,33.0,33.7,0.4,0.5,33.3,171.0,378.0,0.3,20.8,80.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート フラペチーノ®,ミルク,487.0,7.5,20.1,70.0,0.6,2.8,67.2,239.0,622.0,0.2,12.2,17.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート フラペチーノ®,低脂肪タイプ,473.0,7.5,18.3,70.4,0.7,2.8,67.5,269.0,644.0,0.1,11.2,17.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート フラペチーノ®,無脂肪乳,459.0,7.5,16.5,70.8,0.8,2.8,67.9,299.0,666.0,0.1,10.1,17.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート フラペチーノ®,豆乳（調製豆乳）,482.0,7.3,20.9,67.4,0.7,3.1,64.3,263.0,631.0,0.1,10.6,17.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート フラペチーノ®,アーモンドミルク,464.0,4.1,20.8,66.9,0.7,4.7,62.2,282.0,469.0,0.1,12.9,17.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート フラペチーノ®,オーツミルク,484.0,4.9,20.1,72.0,0.7,3.4,68.6,261.0,488.0,0.1,10.4,17.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート フラペチーノ®,ブレべ,663.0,6.4,40.2,69.9,0.6,2.8,67.1,244.0,581.0,0.3,25.2,17.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（ホット）,ミルク,418.0,12.9,18.7,50.6,0.5,1.3,49.3,200.0,752.0,0.3,11.2,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（ホット）,低脂肪タイプ,384.0,12.9,14.3,51.5,0.7,1.3,50.2,272.0,804.0,0.2,8.6,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（ホット）,無脂肪乳,350.0,12.9,10.0,52.5,0.9,1.3,51.1,344.0,857.0,0.1,6.1,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（ホット）,豆乳（調製豆乳）,406.0,12.3,20.5,44.2,0.8,1.9,42.4,257.0,773.0,0.1,7.3,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（ホット）,アーモンドミルク,361.0,4.4,20.4,43.0,0.8,5.8,37.2,303.0,381.0,0.1,12.7,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（ホット）,オーツミルク,410.0,6.4,18.7,55.4,0.6,2.7,52.7,253.0,428.0,0.1,6.6,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（ホット）,ブレべ,843.0,10.1,67.2,50.4,0.5,1.3,49.0,212.0,653.0,0.6,42.5,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（アイス）,ミルク,329.0,7.8,13.9,43.8,0.3,1.3,42.4,141.0,541.0,0.2,8.4,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（アイス）,低脂肪タイプ,311.0,7.8,11.8,44.2,0.4,1.3,42.9,177.0,567.0,0.1,7.1,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（アイス）,無脂肪乳,294.0,7.8,9.6,44.7,0.5,1.3,43.4,213.0,593.0,0.1,5.9,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（アイス）,豆乳（調製豆乳）,323.0,7.6,14.8,40.6,0.5,1.6,39.0,169.0,552.0,0.1,6.5,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（アイス）,アーモンドミルク,300.0,3.7,14.8,40.0,0.5,3.6,36.4,192.0,356.0,0.1,9.2,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（アイス）,オーツミルク,325.0,4.6,13.9,46.1,0.4,2.0,44.1,167.0,379.0,0.1,6.2,86.0
ビバレッジ,STARBUCKS COFFEE,季節のおすすめ,ダブル チョコレート ラテ（アイス）,ブレべ,541.0,6.5,38.2,43.6,0.4,1.3,42.3,147.0,491.0,0.3,24.1,86.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,コールドブリュー コーヒー,,10.0,0.4,0.0,2.3,0.01,0.6,1.6,5.0,205.0,0.0,0.0,144.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,カフェミスト,ミルク,127.0,7.2,6.3,10.7,0.2,0.4,10.3,81.0,480.0,0.2,3.7,138.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,カフェミスト,低脂肪タイプ,105.0,7.2,3.4,11.3,0.3,0.4,10.9,128.0,515.0,0.1,2.0,138.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,カフェミスト,無脂肪乳,82.0,7.2,0.5,11.9,0.4,0.4,11.5,176.0,550.0,0.0,0.3,138.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,カフェミスト,豆乳（調製豆乳）,120.0,6.8,7.5,6.5,0.4,0.7,5.7,119.0,494.0,0.0,1.1,138.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,カフェミスト,アーモンドミルク,90.0,1.6,7.4,5.7,0.4,3.4,2.3,148.0,236.0,0.0,4.7,138.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,カフェミスト,オーツミルク,122.0,2.9,6.3,13.8,0.3,1.3,12.6,116.0,267.0,0.0,0.6,138.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,カフェミスト,ブレべ,408.0,5.3,38.3,10.5,0.2,0.4,10.2,89.0,415.0,0.4,24.3,138.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,コーヒープレス（ホット）,,17.0,1.0,0.0,3.1,0.01,0.7,2.4,5.0,374.0,0.0,0.0,255.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,コーヒープレス（アイス）,,18.0,1.1,0.0,3.6,0.0,0.7,2.8,0.0,398.0,0.0,0.0,273.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ドリップ コーヒー（ホット）,,18.0,1.1,0.0,3.3,0.01,0.7,2.6,6.0,404.0,0.0,0.0,276.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ドリップ コーヒー（アイス）,,10.0,0.6,0.0,2.1,0.0,0.4,1.6,0.0,230.0,0.0,0.0,158.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ ドリップ コーヒー（ホット）,,11.0,0.7,0.0,2.2,0.01,0.7,1.5,7.0,318.0,0.0,0.0,15.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ ドリップ コーヒー（アイス）,,6.0,0.4,0.0,1.4,0.006,0.4,1.0,2.0,199.0,0.0,0.0,6.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ カフェミスト,ミルク,124.0,7.0,6.3,10.1,0.2,0.4,9.8,82.0,437.0,0.2,3.7,7.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ カフェミスト,低脂肪タイプ,101.0,7.0,3.4,10.7,0.3,0.4,10.4,129.0,472.0,0.1,2.0,7.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ カフェミスト,無脂肪乳,78.0,7.0,0.5,11.3,0.4,0.4,11.0,177.0,506.0,0.0,0.3,7.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ カフェミスト,豆乳（調製豆乳）,116.0,6.6,7.5,5.9,0.4,0.7,5.2,119.0,451.0,0.0,1.1,7.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ カフェミスト,アーモンドミルク,86.0,1.4,7.4,5.1,0.4,3.3,1.8,149.0,192.0,0.0,4.7,7.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ カフェミスト,オーツミルク,118.0,2.7,6.3,13.3,0.3,1.3,12.0,117.0,223.0,0.0,0.6,7.0
ビバレッジ,STARBUCKS COFFEE,コーヒー,ディカフェ カフェミスト,ブレべ,404.0,5.1,38.3,10.0,0.2,0.4,9.6,90.0,371.0,0.4,24.3,7.0
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ブロンド ラテ with オーツ ミルク（ホット）,,213.0,4.7,11.5,23.5,0.5,2.0,21.5,207.0,242.0,0.0,1.2,80.0
