大ジャンル,商品カテゴリ,letter,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用,タンパク質_per_エネルギー,食物繊維_per_エネルギー,ナトリウム_per_エネルギー,カリウム_per_エネルギー,脂質_per_エネルギー,食塩相当量_per_エネルギー,糖質_per_エネルギー,トランス脂肪酸_per_エネルギー,飽和脂肪酸_per_エネルギー,カフェイン_per_エネルギー,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,健康偏差値,不健康偏差値
ビバレッジ,フラペチーノ®,和三蜜 アーモンドミルク フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785487345/4524785487345_11_s.jpg,image_5648b580-ece4-4211-9e1a-a98d662ce556.png,https://menu.starbucks.co.jp/4524785487345,315.0,3.0,18.0,36.7,0.6,,,,,,,,,0.0095238095238095,,,,0.0571428571428571,0.0019047619047619,,,,,43.1,50.0,50.0,50.0,57.7,49.6,50.0,50.0,50.0,48.275,51.46
ビバレッジ,フラペチーノ®,クランチー アーモンド チョコレート フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785324671/4524785324671_11_s.jpg,image_30a45b25-9760-4ffe-98b7-c33f9f3ed344.png,https://menu.starbucks.co.jp/4524785324671,472.0,8.4,22.4,60.7,0.6,,,,,,,,,0.0177966101694915,,,,0.047457627118644,0.0012711864406779,,,,,46.2,50.0,50.0,50.0,53.6,47.6,50.0,50.0,50.0,49.05,50.24
ビバレッジ,フラペチーノ®,ゆず & シトラス ラベンダー セージ ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445543/4524785445543_11_s.jpg,image_7b6a6920-85a2-4e95-92f8-6a78c8f710b9.png,https://menu.starbucks.co.jp/4524785445543,252.0,0.3,0.1,63.1,0.2,,,,,,,,,0.0011904761904761,,,,0.0003968253968253,0.0007936507936507,,,,,40.0,50.0,50.0,50.0,33.5,46.2,50.0,50.0,50.0,47.5,45.94
ビバレッジ,フラペチーノ®,ストロベリー & パッション ティー フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445550/4524785445550_11_s.jpg,image_effbd6c7-a7d5-4d3a-99e7-30a43b0b5454.png,https://menu.starbucks.co.jp/4524785445550,233.0,0.3,5.4,45.9,0.04,,,,,,,,,0.0012875536480686,,,,0.023175965665236,0.0001716738197424,,,,,40.0,50.0,50.0,50.0,43.2,44.2,50.0,50.0,50.0,47.5,47.48
ビバレッジ,フラペチーノ®,和三蜜 抹茶 フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445581/4524785445581_11_s.jpg,image_3b84bbe7-8497-4e63-86e5-02eea6934468.png,https://menu.starbucks.co.jp/4524785445581,303.0,6.1,12.7,42.3,0.1,,,,,,,,,0.0201320132013201,,,,0.0419141914191419,0.0003300330033003,,,,,47.0,50.0,50.0,50.0,51.2,44.7,50.0,50.0,50.0,49.25,49.18
ビバレッジ,フラペチーノ®,和三蜜 ほうじ茶 フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445598/4524785445598_11_s.jpg,image_26d775db-c65b-42a3-959f-b90ce7e4bf03.png,https://menu.starbucks.co.jp/4524785445598,304.0,5.6,12.8,42.6,0.1,,,,,,,,,0.0184210526315789,,,,0.0421052631578947,0.000328947368421,,,,,46.4,50.0,50.0,50.0,51.3,44.7,50.0,50.0,50.0,49.1,49.2
ビバレッジ,フラペチーノ®,ジョイフルメドレー ティー  ラテ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785526518/4524785526518_11_s.jpg,image_00919c9f-3ed3-4290-895f-50685078383b.png,https://menu.starbucks.co.jp/4524785526518,284.0,2.5,6.2,55.5,0.1,,,,,,,,,0.0088028169014084,,,,0.0218309859154929,0.0003521126760563,,,,,42.8,50.0,50.0,50.0,42.7,44.8,50.0,50.0,50.0,48.2,47.5
ビバレッジ,フラペチーノ®,My フルーツ³ フラペチーノ® オレンジ & パッションフルーツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785546974/4524785546974_11_s.jpg,image_05e6fedd-a3b1-45d3-a920-b47467c0a43c.png,https://menu.starbucks.co.jp/4524785546974,399.0,8.2,15.2,59.1,0.6,,,,,,,,,0.0205513784461152,,,,0.038095238095238,0.0015037593984962,,,,,47.2,50.0,50.0,50.0,49.6,48.4,50.0,50.0,50.0,49.3,49.6
ビバレッジ,コーヒー,ドリップ コーヒー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000018/4524785000018_11_s.jpg,image_4cc04a59-c841-4ac5-b00d-4850f99c2348.png,https://menu.starbucks.co.jp/4524785000018,18.0,1.1,0.0,3.3,0.01,0.7,2.6,6.0,404.0,0.0,0.0,276.0,,0.0611111111111111,0.0388888888888888,0.3333333333333333,22.444444444444443,0.0,0.0005555555555555,0.1444444444444444,0.0,0.0,15.333333333333334,62.2,75.2,44.0,77.4,33.4,45.4,53.7,40.7,34.6,64.7,41.56
ビバレッジ,コーヒー,カフェ ミスト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785062870/4524785062870_11_s.jpg,image_9ef57cc4-9f5d-4210-96bc-32c283ceb2f2.png,https://menu.starbucks.co.jp/4524785062870,127.0,7.2,6.3,10.7,0.2,0.4,10.3,81.0,480.0,0.2,3.7,138.0,,0.0566929133858267,0.0031496062992125,0.6377952755905512,3.779527559055118,0.0496062992125984,0.0015748031496062,0.0811023622047244,0.0015748031496062,0.0291338582677165,1.0866141732283463,60.6,46.7,48.0,50.4,54.5,48.6,41.8,74.6,60.7,51.425,56.04
