大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
ビバレッジ,エスプレッソ,ジャンドゥーヤ チョコレート モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556713/4524785556713_11_s.jpg,image_571901e7-4692-4ce5-94ba-90ba2950ebb9.png,https://menu.starbucks.co.jp/4524785556713,391kcal,12.3g,19.9g,41.5g,0.3g,1.0g,40.4g,141mg,676mg,0.3g,10.6g,83mg,
ビバレッジ,フラペチーノ,オペラ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785515017/4524785515017_11_s.jpg,image_2b51c413-a869-4aab-be84-69179455c5a5.png,https://menu.starbucks.co.jp/4524785515017,395kcal,4.8g,16.2g,59.6g,0.6g,5.9g,53.8g,222mg,772mg,0.1g,8.6g,61mg,
ビバレッジ,フラペチーノ,ホワイト オペラ フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785515031/4524785515031_11_s.jpg,image_2de65812-5299-48e1-a4c7-b3159223f785.png,https://menu.starbucks.co.jp/4524785515031,479kcal,2.2g,21.9g,69.1g,0.5g,1.3g,67.7g,174mg,144mg,0.2g,10.0g,34mg,
フード,デザート,生チョコ in チョコレートパイ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785558151/4524785558151_11_s.jpg,image_07167b2f-09b0-486a-b349-54944587a5cd.png,https://menu.starbucks.co.jp/4524785558151,337kcal,4.1g,23.6g,28.1g,0.3g,2.2g,25.9g,134mg,190mg,0.0g,10.0g,,なし
フード,ペストリー,チョコレートの米粉マフィン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785558106/4524785558106_11_s.jpg,image_834ff024-6d4f-4941-b417-f25de6fdf2cc.png,https://menu.starbucks.co.jp/4524785558106,309kcal,4.4g,14.0g,42.1g,0.6g,1.7g,40.4g,243mg,166mg,0.0g,3.3g,,なし
フード,ペストリー,クッキーとチョコレートのパウンドケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785527829/4524785527829_11_s.jpg,image_efcaffc0-0f17-49b8-bf5a-d0454e5d2f10.png,https://menu.starbucks.co.jp/4524785527829,338kcal,4.9g,20.3g,34.9g,0.4g,1.4g,33.5g,158mg,120mg,0.1g,7.4g,,なし
フード,サンドイッチ,照り焼きチキン 石窯フィローネ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785561571/4524785561571_11_s.jpg,image_bbafcb30-ea81-469f-9f55-204ecb2f3186.png,https://menu.starbucks.co.jp/4524785561571,398kcal,17.9g,16.7g,45.8g,2.1g,3.7g,42.1g,818mg,261mg,0.0g,3.9g,,あり（アルコール分0.1%未満）
フード,パッケージフード,2種のストロベリーチョコレート,https://asset.menu.starbucks.co.jp/public/sku_images/4524785554092/4524785554092_11_s.jpg,image_9f6b731a-5be7-4bfa-882f-be5b283ff3f6.png,https://menu.starbucks.co.jp/4524785554092,695kcal,7.2g,46.6g,63.6g,0.2g,3.7g,59.9g,64mg,505mg,0.1g,25.0g,,なし
