大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用,タンパク質_per_エネルギー,食物繊維_per_エネルギー,ナトリウム_per_エネルギー,カリウム_per_エネルギー,脂質_per_エネルギー,食塩相当量_per_エネルギー,糖質_per_エネルギー,トランス脂肪酸_per_エネルギー,飽和脂肪酸_per_エネルギー,カフェイン_per_エネルギー,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,健康偏差値,不健康偏差値,limited,季節のおすすめ,timestamp
ビバレッジ,エスプレッソ,カフェ モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000254/4524785000254_11_s.jpg,image_581178ab-926d-4dff-98c3-bb8b83314644.png,https://menu.starbucks.co.jp/4524785000254,399.0,12.6,18.7,46.9,0.3,2.8,44.1,131.0,845.0,0.3,10.2,95.0,,0.031578947368421,0.0070175438596491,0.3283208020050125,2.117794486215539,0.0468671679197994,0.0007518796992481,0.1105263157894736,0.0007518796992481,0.025563909774436,0.238095238095238,51.4,49.6,43.9,48.1,54.0,45.9,47.3,56.7,57.2,48.25,52.22,False,False,2023-12-29
ビバレッジ,エスプレッソ,ホワイト モカ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785034532/4524785034532_11_s.jpg,image_9f2d7489-cc7d-4df0-91db-be53b54b2c7b.png,https://menu.starbucks.co.jp/4524785034532,401.0,12.8,18.3,46.8,0.5,0.4,46.4,227.0,675.0,0.3,11.5,80.0,,0.0319201995012468,0.0009975062344139,0.5660847880299252,1.6832917705735662,0.0456359102244389,0.0012468827930174,0.1157107231920199,0.0007481296758104,0.0286783042394014,0.199501246882793,51.6,44.8,46.9,47.5,53.5,47.4,48.2,56.7,59.9,47.7,53.14,False,False,2023-12-29
ビバレッジ,エスプレッソ,キャラメル マキアート,https://asset.menu.starbucks.co.jp/public/sku_images/4524785019232/4524785019232_11_s.jpg,image_5ca71f63-a1b1-4837-acf5-61a3b0dd3955.png,https://menu.starbucks.co.jp/4524785019232,211.0,8.5,8.4,25.9,0.2,0.3,25.5,106.0,467.0,0.2,4.9,80.0,,0.0402843601895734,0.0014218009478672,0.5023696682464455,2.213270142180095,0.0398104265402843,0.0009478672985781,0.1208530805687203,0.0009478672985781,0.0232227488151658,0.3791469194312796,54.6,45.2,46.1,48.3,51.0,46.5,49.2,60.9,55.1,48.55,52.54,False,False,2023-12-29
ビバレッジ,エスプレッソ,カフェ アメリカーノ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000315/4524785000315_11_s.jpg,image_7bc3fa6a-cdbb-48b2-b53c-891a0448f2d7.png,https://menu.starbucks.co.jp/4524785000315,11.0,0.8,0.0,2.2,0.0,0.7,1.6,0.0,247.0,0.0,0.0,160.0,,0.0727272727272727,0.0636363636363636,0.0,22.454545454545453,0.0,0.0,0.1454545454545454,0.0,0.0,14.545454545454543,66.3,94.3,39.7,77.6,33.9,43.6,53.6,40.8,34.8,69.475,41.34,False,False,2023-12-29
ビバレッジ,エスプレッソ,エスプレッソ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785000346/4524785000346_11_s.jpg,image_0a531826-4e84-46b8-93e4-0ba86aeabe24.png,https://menu.starbucks.co.jp/4524785000346,5.0,0.4,0.0,1.1,0.0,0.3,0.8,0.0,124.0,0.0,0.0,80.0,,0.08,0.06,0.0,24.8,0.0,0.0,0.16,0.0,0.0,16.0,69.0,91.4,39.7,81.0,33.9,43.6,56.3,40.8,34.8,70.275,41.88,False,False,2023-12-29
ビバレッジ,エスプレッソ,スターバックス ブロンド ラテ with オーツミルク,https://asset.menu.starbucks.co.jp/public/sku_images/4524785487253/4524785487253_11_s.jpg,image_b219f768-aa08-4295-af8c-a2a3242d68d6.png,https://menu.starbucks.co.jp/4524785487253,213.0,4.7,11.5,23.5,0.5,2.0,21.5,207.0,242.0,0.0,1.2,80.0,,0.0220657276995305,0.0093896713615023,0.971830985915493,1.136150234741784,0.0539906103286385,0.0023474178403755,0.1009389671361502,0.0,0.0056338028169014,0.3755868544600939,48.0,51.5,52.1,46.7,57.1,50.7,45.5,40.8,39.8,49.575,46.78,False,False,2023-12-29
ビバレッジ,エスプレッソ,トリプルエスプレッソ ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785457690/4524785457690_11_s.jpg,image_f26f3ae2-7bad-460f-8cc4-3af0b6114dd0.png,https://menu.starbucks.co.jp/4524785457690,219.0,11.4,9.7,22.4,0.3,1.0,21.4,122.0,801.0,0.3,5.7,239.0,,0.0520547945205479,0.0045662100456621,0.5570776255707762,3.6575342465753424,0.0442922374429223,0.0013698630136986,0.0977168949771689,0.0013698630136986,0.0260273972602739,1.091324200913242,58.8,47.7,46.8,50.4,52.9,47.8,44.9,69.8,57.6,50.925,54.6,False,False,2023-12-29
ビバレッジ,エスプレッソ,和三蜜 ムース フォーム アーモンドミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785548541/4524785548541_11_s.jpg,image_8e98e22b-332a-404f-a5bb-b322617d2b2a.png,https://menu.starbucks.co.jp/4524785548541,154.0,3.3,10.4,14.0,0.6,,,,,,,,,0.0214285714285714,,,,0.0675324675324675,0.0038961038961038,,,,,47.8,50.0,50.0,50.0,62.9,55.4,50.0,50.0,50.0,49.45,53.66,True,False,2023-12-29
ビバレッジ,フラペチーノ®,GOHOBI メロン フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785557017/4524785557017_11_s.jpg,image_e9277d19-7416-471b-a03a-3c4880171f6c.png,https://menu.starbucks.co.jp/4524785557017,303.0,2.1,9.9,51.7,0.2,0.4,51.3,75.0,172.0,0.1,6.2,0.0,,0.0069306930693069,0.0013201320132013,0.2475247524752475,0.5676567656765676,0.0326732673267326,0.0006600660066006,0.1693069306930693,0.0003300330033003,0.0204620462046204,0.0,42.5,45.1,42.9,45.9,47.9,45.6,58.0,47.8,52.7,44.1,50.4,False,True,2024-05-07
ビバレッジ,フラペチーノ®,もっとGOHOBI メロン フラペチーノ®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556799/4524785556799_11_s.jpg,image_efbb092c-d5a0-45ff-839e-39eac1531f21.png,https://menu.starbucks.co.jp/4524785556799,318.0,2.1,9.9,55.6,0.2,0.4,55.2,81.0,183.0,0.1,6.2,0.0,,0.0066037735849056,0.0012578616352201,0.2547169811320754,0.5754716981132075,0.0311320754716981,0.00062893081761,0.1735849056603773,0.000314465408805,0.0194968553459119,0.0,42.4,45.0,43.0,45.9,47.2,45.5,58.8,47.5,51.9,44.075,50.18,False,True,2024-05-07
