大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,商品カテゴリ２,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,カフェイン_偏差値,健康偏差値,不健康偏差値
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（アイス）,アーモンドミルク,87.0,1.4,7.4,5.2,0.4,3.3,1.9,147.0,157.0,0.0,4.7,80.0,エスプレッソ,33.5,62.8,46.1,33.4,45.5,46.9,33.5,42.7,47.2,47.5,43.95,43.883
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（アイス）,オーツミルク,119.0,2.7,6.3,13.4,0.3,1.2,12.2,114.0,189.0,0.0,0.7,80.0,エスプレッソ,37.2,48.4,41.7,35.0,44.8,41.9,40.8,42.7,43.2,47.5,40.575,43.483
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（アイス）,ブレべ,408.0,5.2,38.7,10.1,0.2,0.3,9.7,87.0,338.0,0.4,24.6,80.0,エスプレッソ,44.5,42.2,38.1,42.8,65.8,37.0,39.0,65.9,66.7,47.5,41.9,53.65
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ソイ ラテ（ホット）,,208.0,11.8,13.8,10.0,0.7,1.0,9.0,213.0,661.0,0.0,2.0,80.0,エスプレッソ,63.6,47.0,54.9,59.6,49.7,61.7,38.5,42.7,44.5,47.5,56.275,47.433
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ソイ ラテ（アイス）,,117.0,6.7,7.6,6.0,0.4,0.7,5.3,117.0,419.0,0.0,1.1,80.0,エスプレッソ,48.8,45.0,42.1,47.0,45.6,46.9,35.9,42.7,43.6,47.5,45.725,43.7
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ムース フォーム ラテ（アイス）,ミルク,109.0,7.1,4.1,11.3,0.3,0.7,10.6,106.0,536.0,0.1,2.4,160.0,エスプレッソ,50.0,45.0,40.6,53.1,43.4,41.9,39.7,48.5,44.9,62.8,47.175,46.867
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ムース フォーム ラテ（アイス）,低脂肪タイプ,95.0,7.1,2.3,11.7,0.3,0.7,11.0,136.0,558.0,0.1,1.3,160.0,エスプレッソ,50.0,45.0,44.6,54.2,42.2,41.9,40.0,48.5,43.8,62.8,48.45,46.533
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ムース フォーム ラテ（アイス）,無脂肪乳,80.0,7.1,0.5,12.0,0.4,0.7,11.4,165.0,579.0,0.0,0.3,160.0,エスプレッソ,50.0,45.0,48.5,55.3,41.0,46.9,40.2,42.7,42.8,62.8,49.7,46.067
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ムース フォーム ラテ（アイス）,豆乳（調製豆乳）,104.0,6.8,4.9,8.6,0.4,0.9,7.8,129.0,545.0,0.0,0.8,160.0,エスプレッソ,49.1,46.3,43.7,53.6,43.9,46.9,37.7,42.7,43.3,62.8,48.175,46.217
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ムース フォーム ラテ（アイス）,アーモンドミルク,85.0,3.6,4.8,8.1,0.4,2.5,5.6,148.0,382.0,0.0,3.0,160.0,エスプレッソ,39.9,57.3,46.2,45.1,43.8,46.9,36.1,42.7,45.5,62.8,47.125,46.3
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ムース フォーム ラテ（アイス）,オーツミルク,105.0,4.4,4.1,13.3,0.3,1.2,12.0,128.0,402.0,0.0,0.5,160.0,エスプレッソ,42.2,48.4,43.5,46.1,43.4,41.9,40.7,42.7,43.0,62.8,45.05,45.75
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ムース フォーム ラテ（アイス）,ブレべ,285.0,5.9,24.2,11.2,0.3,0.7,10.5,111.0,495.0,0.3,15.4,160.0,エスプレッソ,46.5,45.0,41.3,51.0,56.4,41.9,39.6,60.1,57.7,62.8,45.95,53.083
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（ホット）,ミルク,223.0,12.4,11.5,17.9,0.3,0.2,17.6,144.0,654.0,0.3,6.7,5.0,エスプレッソ,65.3,41.5,45.7,59.2,48.2,41.9,44.7,60.1,49.1,33.2,52.925,46.2
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（ホット）,低脂肪タイプ,182.0,12.4,6.2,19.0,0.6,0.2,18.7,232.0,718.0,0.2,3.6,5.0,エスプレッソ,65.3,41.5,57.4,62.6,44.7,56.8,45.4,54.3,46.1,33.2,56.7,46.75
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（ホット）,無脂肪乳,140.0,12.4,1.0,20.1,0.8,0.2,19.9,319.0,782.0,0.0,0.5,5.0,エスプレッソ,65.3,41.5,69.0,65.9,41.4,66.7,46.3,42.7,43.0,33.2,60.425,45.55
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（ホット）,豆乳（調製豆乳）,209.0,11.7,13.8,10.1,0.7,0.9,9.2,214.0,680.0,0.0,2.0,5.0,エスプレッソ,63.3,46.3,55.0,60.6,49.7,61.7,38.7,42.7,44.5,33.2,56.3,45.083
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（ホット）,アーモンドミルク,154.0,2.2,13.6,8.7,0.7,5.7,2.9,269.0,205.0,0.0,8.6,5.0,エスプレッソ,35.8,79.2,62.4,35.9,49.5,61.7,34.2,42.7,51.0,33.2,53.325,45.383
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（ホット）,オーツミルク,213.0,4.5,11.5,23.6,0.5,1.9,21.8,208.0,262.0,0.0,1.2,5.0,エスプレッソ,42.5,53.2,54.2,38.8,48.2,51.8,47.7,42.7,43.7,33.2,47.175,44.55
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（ホット）,ブレべ,739.0,9.0,70.4,17.5,0.4,0.2,17.3,159.0,534.0,0.7,44.7,5.0,エスプレッソ,55.5,41.5,47.7,53.0,86.3,46.9,44.4,83.3,86.5,33.2,49.425,63.433
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（アイス）,ミルク,125.0,6.9,6.3,10.4,0.2,0.2,10.1,80.0,424.0,0.2,3.7,5.0,エスプレッソ,49.4,41.5,37.1,47.3,44.8,37.0,39.3,54.3,46.2,33.2,43.825,42.467
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（アイス）,低脂肪タイプ,102.0,6.9,3.4,11.0,0.3,0.2,10.7,128.0,459.0,0.1,2.0,5.0,エスプレッソ,49.4,41.5,43.5,49.1,42.9,41.9,39.7,48.5,44.5,33.2,45.875,41.783
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（アイス）,無脂肪乳,80.0,6.9,0.5,11.6,0.4,0.2,11.4,175.0,494.0,0.0,0.3,5.0,エスプレッソ,49.4,41.5,49.8,50.9,41.0,46.9,40.2,42.7,42.8,33.2,47.9,41.133
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（アイス）,豆乳（調製豆乳）,117.0,6.5,7.6,6.1,0.4,0.6,5.5,118.0,438.0,0.0,1.1,5.0,エスプレッソ,48.2,44.3,42.2,48.0,45.6,46.9,36.0,42.7,43.6,33.2,45.675,41.333
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（アイス）,アーモンドミルク,87.0,1.3,7.4,5.3,0.4,3.2,2.1,148.0,177.0,0.0,4.7,5.0,エスプレッソ,33.2,62.1,46.2,34.4,45.5,46.9,33.6,42.7,47.2,33.2,43.975,41.517
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（アイス）,オーツミルク,120.0,2.6,6.3,13.5,0.3,1.1,12.4,115.0,208.0,0.0,0.7,5.0,エスプレッソ,37.0,47.7,41.8,36.0,44.8,41.9,41.0,42.7,43.2,33.2,40.625,41.133
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ディカフェ スターバックス ラテ（アイス）,ブレべ,409.0,5.1,38.7,10.2,0.2,0.2,10.0,87.0,358.0,0.4,24.6,5.0,エスプレッソ,44.2,41.5,38.1,43.8,65.8,37.0,39.2,65.9,66.7,33.2,41.9,51.3
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,エスプレッソ ドピオ,,11.0,0.8,0.0,2.2,0.0,0.7,1.6,0.0,247.0,0.0,0.0,160.0,エスプレッソ,31.8,45.0,26.5,38.1,40.7,27.1,33.2,42.7,42.5,62.8,35.35,41.5
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,コーヒー フラペチーノ® ,ミルク,183.0,3.3,2.9,36.0,0.4,0.1,35.9,173.0,268.0,0.1,1.7,86.0,フラペチーノ®,43.1,39.9,37.4,45.8,36.1,42.5,43.0,46.8,37.9,55.9,41.55,43.7
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,コーヒー フラペチーノ® ,低脂肪タイプ,172.0,3.3,1.6,36.2,0.5,0.1,36.2,195.0,284.0,0.0,0.9,86.0,フラペチーノ®,43.1,39.9,43.8,46.7,34.7,48.0,43.3,36.1,36.5,55.9,43.375,42.417
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,コーヒー フラペチーノ® ,無脂肪乳,162.0,3.3,0.2,36.5,0.5,0.1,36.4,216.0,300.0,0.0,0.1,86.0,フラペチーノ®,43.1,39.9,49.9,47.6,33.2,48.0,43.4,36.1,35.1,55.9,45.125,41.95
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,コーヒー フラペチーノ® ,豆乳（調製豆乳）,179.0,3.1,3.4,34.0,0.5,0.3,33.8,190.0,274.0,0.0,0.5,86.0,フラペチーノ®,42.2,41.6,42.3,46.2,36.6,48.0,41.2,36.1,35.8,55.9,43.075,42.267
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,コーヒー フラペチーノ® ,アーモンドミルク,165.0,0.7,3.4,33.7,0.5,1.5,32.2,204.0,155.0,0.0,2.2,86.0,フラペチーノ®,30.9,51.4,46.4,39.4,36.6,48.0,39.7,36.1,38.7,55.9,42.025,42.5
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,コーヒー フラペチーノ® ,オーツミルク,180.0,1.3,2.9,37.4,0.5,0.5,36.9,189.0,170.0,0.0,0.3,86.0,フラペチーノ®,33.7,43.2,42.0,40.3,36.1,48.0,43.9,36.1,35.4,55.9,39.8,42.567
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,コーヒー フラペチーノ® ,ブレべ,312.0,2.4,17.6,35.9,0.4,0.1,35.8,176.0,238.0,0.2,11.2,86.0,フラペチーノ®,38.9,39.9,38.2,44.1,51.8,42.5,42.9,57.6,54.5,55.9,40.275,50.867
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,エスプレッソ アフォガート フラペチーノ® ,,438.0,4.2,28.5,41.7,0.5,0.7,41.0,189.0,433.0,0.4,18.2,160.0,フラペチーノ®,47.3,44.9,42.0,55.2,63.5,48.0,47.5,79.1,66.7,73.8,47.35,63.1
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,ダーク モカ チップ フラペチーノ® ,ミルク,341.0,5.3,15.2,45.9,0.5,2.1,43.7,211.0,585.0,0.2,9.7,98.0,フラペチーノ®,52.5,56.3,48.5,63.8,49.3,48.0,49.9,57.6,51.8,58.8,55.275,52.567
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,ダーク モカ チップ フラペチーノ® ,低脂肪タイプ,331.0,5.3,13.9,46.1,0.6,2.1,44.0,233.0,601.0,0.1,8.9,98.0,フラペチーノ®,52.5,56.3,54.9,64.7,47.9,53.5,50.1,46.8,50.4,58.8,57.1,51.25
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,ダーク モカ チップ フラペチーノ® ,無脂肪乳,320.0,5.3,12.5,46.4,0.6,2.1,44.3,254.0,617.0,0.1,8.1,98.0,フラペチーノ®,52.5,56.3,61.0,65.6,46.4,53.5,50.4,46.8,49.1,58.8,58.85,50.833
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,ダーク モカ チップ フラペチーノ® ,豆乳（調製豆乳）,337.0,5.1,15.8,43.9,0.6,2.3,41.6,228.0,592.0,0.1,8.5,98.0,フラペチーノ®,51.6,58.0,53.4,64.2,49.9,53.5,48.0,46.8,49.7,58.8,56.8,51.117
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,ダーク モカ チップ フラペチーノ® ,アーモンドミルク,324.0,2.7,15.7,43.6,0.6,3.5,40.1,242.0,473.0,0.1,10.2,98.0,フラペチーノ®,40.3,67.8,57.5,57.5,49.8,53.5,46.7,46.8,52.7,58.8,55.775,51.383
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,ダーク モカ チップ フラペチーノ® ,オーツミルク,339.0,3.3,15.2,47.3,0.6,2.5,44.8,227.0,487.0,0.1,8.3,98.0,フラペチーノ®,43.1,59.6,53.2,58.2,49.3,53.5,50.8,46.8,49.4,58.8,53.525,51.433
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,ダーク モカ チップ フラペチーノ® ,ブレべ,470.0,4.5,29.9,45.8,0.5,2.1,43.7,214.0,555.0,0.3,19.2,98.0,フラペチーノ®,48.7,56.3,49.3,62.1,65.0,48.0,49.9,68.3,68.4,58.8,54.1,59.733
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,キャラメル フラペチーノ® ,ミルク,302.0,3.7,12.0,44.9,0.5,0.1,44.8,192.0,289.0,0.2,7.5,86.0,フラペチーノ®,45.0,39.9,42.9,47.0,45.8,48.0,50.8,57.6,48.0,55.9,43.7,51.017
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,キャラメル フラペチーノ® ,低脂肪タイプ,291.0,3.7,10.6,45.2,0.5,0.1,45.1,214.0,305.0,0.1,6.7,86.0,フラペチーノ®,45.0,39.9,49.3,47.9,44.3,48.0,51.1,46.8,46.6,55.9,45.525,48.783
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,キャラメル フラペチーノ® ,無脂肪乳,281.0,3.7,9.3,45.4,0.6,0.1,45.3,236.0,321.0,0.1,5.9,86.0,フラペチーノ®,45.0,39.9,55.8,48.8,42.9,53.5,51.3,46.8,45.2,55.9,47.375,49.267
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,キャラメル フラペチーノ® ,豆乳（調製豆乳）,298.0,3.5,12.5,42.9,0.6,0.3,42.7,209.0,296.0,0.1,6.3,86.0,フラペチーノ®,44.1,41.6,47.9,47.4,46.4,53.5,49.0,46.8,45.9,55.9,45.25,49.583
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,キャラメル フラペチーノ® ,アーモンドミルク,284.0,1.1,12.5,42.6,0.6,1.5,41.1,223.0,177.0,0.1,8.0,86.0,フラペチーノ®,32.8,51.4,52.0,40.7,46.4,53.5,47.6,46.8,48.9,55.9,44.225,49.85
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,キャラメル フラペチーノ® ,オーツミルク,299.0,1.7,12.0,46.3,0.5,0.5,45.8,208.0,191.0,0.1,6.1,86.0,フラペチーノ®,35.6,43.2,47.6,41.5,45.8,48.0,51.7,46.8,45.6,55.9,41.975,48.967
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,キャラメル フラペチーノ® ,ブレべ,431.0,2.8,26.7,44.8,0.5,0.1,44.7,196.0,259.0,0.3,17.0,86.0,フラペチーノ®,40.8,39.9,44.1,45.3,61.6,48.0,50.7,68.3,64.6,55.9,42.525,58.183
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,バニラ クリーム フラペチーノ® ,ミルク,255.0,4.5,12.4,31.5,0.5,0.1,31.4,184.0,206.0,0.2,7.7,0.0,フラペチーノ®,48.7,39.9,40.6,42.3,46.3,48.0,39.0,57.6,48.4,35.1,42.875,45.733
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,バニラ クリーム フラペチーノ® ,低脂肪タイプ,241.0,4.5,10.6,31.9,0.5,0.1,31.8,214.0,228.0,0.1,6.7,0.0,フラペチーノ®,48.7,39.9,49.3,43.6,44.3,48.0,39.4,46.8,46.6,35.1,45.375,43.367
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,バニラ クリーム フラペチーノ® ,無脂肪乳,227.0,4.5,8.8,32.3,0.6,0.1,32.2,244.0,249.0,0.1,5.6,0.0,フラペチーノ®,48.7,39.9,58.1,44.8,42.4,53.5,39.7,46.8,44.7,35.1,47.875,43.7
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,バニラ クリーム フラペチーノ® ,豆乳（調製豆乳）,250.0,4.3,13.2,28.8,0.6,0.3,28.6,208.0,215.0,0.1,6.1,0.0,フラペチーノ®,47.8,41.6,47.6,42.8,47.1,53.5,36.6,46.8,45.6,35.1,44.95,44.117
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,バニラ クリーム フラペチーノ® ,アーモンドミルク,232.0,1.0,13.1,28.4,0.6,1.9,26.4,226.0,53.0,0.1,8.4,0.0,フラペチーノ®,32.3,54.7,52.9,33.6,47.0,53.5,34.7,46.8,49.6,35.1,43.375,44.45
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,バニラ クリーム フラペチーノ® ,オーツミルク,252.0,1.8,12.4,33.5,0.5,0.6,32.9,206.0,72.0,0.1,5.8,0.0,フラペチーノ®,36.1,44.0,47.0,34.7,46.3,48.0,40.4,46.8,45.0,35.1,40.45,43.6
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,バニラ クリーム フラペチーノ® ,ブレべ,431.0,3.4,32.5,31.4,0.5,0.1,31.3,189.0,165.0,0.3,20.7,0.0,フラペチーノ®,43.6,39.9,42.0,40.0,67.8,48.0,39.0,68.3,71.1,35.1,41.375,54.883
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,抹茶 クリーム フラペチーノ® ,ミルク,322.0,5.3,12.7,47.1,0.5,0.9,46.1,184.0,273.0,0.2,7.8,78.0,フラペチーノ®,52.5,46.5,40.6,46.1,46.6,48.0,52.0,57.6,48.5,53.9,46.425,51.1
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,抹茶 クリーム フラペチーノ® ,低脂肪タイプ,308.0,5.3,10.9,47.4,0.5,0.9,46.5,214.0,295.0,0.1,6.7,78.0,フラペチーノ®,52.5,46.5,49.3,47.4,44.7,48.0,52.3,46.8,46.6,53.9,48.925,48.717
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,抹茶 クリーム フラペチーノ® ,無脂肪乳,294.0,5.3,9.1,47.8,0.6,0.9,46.9,244.0,317.0,0.1,5.6,78.0,フラペチーノ®,52.5,46.5,58.1,48.6,42.7,53.5,52.7,46.8,44.7,53.9,51.425,49.05
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,抹茶 クリーム フラペチーノ® ,豆乳（調製豆乳）,317.0,5.1,13.5,44.4,0.6,1.1,43.3,208.0,282.0,0.1,6.1,78.0,フラペチーノ®,51.6,48.1,47.6,46.6,47.4,53.5,49.5,46.8,45.6,53.9,48.475,49.45
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,抹茶 クリーム フラペチーノ® ,アーモンドミルク,298.0,1.9,13.4,43.9,0.6,2.8,41.1,227.0,120.0,0.1,8.4,78.0,フラペチーノ®,36.5,62.1,53.2,37.4,47.3,53.5,47.6,46.8,49.6,53.9,47.3,49.783
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,抹茶 クリーム フラペチーノ® ,オーツミルク,319.0,2.7,12.7,49.0,0.5,1.5,47.6,206.0,139.0,0.1,5.9,78.0,フラペチーノ®,40.3,51.4,47.0,38.5,46.6,48.0,53.3,46.8,45.2,53.9,44.3,48.967
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,抹茶 クリーム フラペチーノ® ,ブレべ,498.0,4.2,32.8,46.9,0.5,0.9,46.0,189.0,232.0,0.3,20.7,78.0,フラペチーノ®,47.3,46.5,42.0,43.8,68.1,48.0,51.9,68.3,71.1,53.9,44.9,60.217
ビバレッジ,STARBUCKS COFFEE,フラペチーノ®,マンゴーパッション ティー フラペチーノ®,,140.0,0.7,0.0,34.4,0.2,1.0,33.4,95.0,209.0,0.0,0.0,0.0,フラペチーノ®,30.9,47.3,14.5,42.5,33.0,31.5,40.8,36.1,34.9,35.1,33.8,35.233
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アール グレイ ティー ラテ,ミルク,180.0,6.6,6.3,24.5,0.2,0.0,24.5,80.0,327.0,0.2,3.7,78.0,ティー | TEAVANA™,53.1,42.8,45.1,56.5,47.3,43.4,51.0,58.9,49.1,54.3,49.375,50.667
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アール グレイ ティー ラテ,低脂肪タイプ,157.0,6.6,3.4,25.1,0.3,0.0,25.1,128.0,362.0,0.1,2.0,78.0,ティー | TEAVANA™,53.1,42.8,54.9,59.1,45.3,48.7,51.6,51.4,46.8,54.3,52.475,49.683
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アール グレイ ティー ラテ,無脂肪乳,134.0,6.6,0.5,25.7,0.4,0.0,25.7,175.0,396.0,0.0,0.3,78.0,ティー | TEAVANA™,53.1,42.8,64.4,61.7,43.3,54.1,52.3,43.8,44.5,54.3,55.5,48.717
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アール グレイ ティー ラテ,豆乳（調製豆乳）,172.0,6.2,7.5,20.3,0.4,0.4,19.9,118.0,341.0,0.0,1.1,78.0,ティー | TEAVANA™,52.0,46.7,52.9,57.5,48.2,54.1,46.3,43.8,45.6,54.3,52.275,48.717
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アール グレイ ティー ラテ,アーモンドミルク,142.0,1.1,7.4,19.5,0.4,3.0,16.5,148.0,82.0,0.0,4.7,78.0,ティー | TEAVANA™,38.3,71.9,59.0,37.9,48.1,54.1,42.8,43.8,50.5,54.3,51.775,48.933
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アール グレイ ティー ラテ,オーツミルク,174.0,2.3,6.3,27.6,0.3,0.9,26.8,115.0,113.0,0.0,0.6,78.0,ティー | TEAVANA™,41.6,51.5,52.2,40.3,47.3,48.7,53.4,43.8,44.9,54.3,46.4,48.733
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アール グレイ ティー ラテ,ブレべ,460.0,4.8,38.3,24.3,0.2,0.0,24.3,88.0,261.0,0.4,24.3,78.0,ティー | TEAVANA™,48.3,42.8,46.8,51.5,69.4,43.4,50.8,74.0,77.0,54.3,47.35,61.483
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アイスティー（ブラック）,,4.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,43.0,0.0,0.0,61.0,ティー | TEAVANA™,35.4,42.8,28.9,35.0,43.0,32.7,26.6,43.8,44.1,48.8,35.525,39.833
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,カモミール ティー ラテ,ミルク,179.0,6.6,6.3,24.4,0.2,0.0,24.4,86.0,301.0,0.2,3.7,0.0,ティー | TEAVANA™,53.1,42.8,46.3,54.5,47.3,43.4,50.9,58.9,49.1,29.2,49.175,46.467
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,カモミール ティー ラテ,低脂肪タイプ,156.0,6.6,3.4,25.0,0.3,0.0,25.0,134.0,336.0,0.1,2.0,0.0,ティー | TEAVANA™,53.1,42.8,56.1,57.2,45.3,48.7,51.5,51.4,46.8,29.2,52.3,45.483
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,カモミール ティー ラテ,無脂肪乳,134.0,6.6,0.5,25.6,0.4,0.0,25.6,181.0,371.0,0.0,0.3,0.0,ティー | TEAVANA™,53.1,42.8,65.7,59.8,43.3,54.1,52.2,43.8,44.5,29.2,55.35,44.517
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,カモミール ティー ラテ,豆乳（調製豆乳）,171.0,6.2,7.5,20.2,0.4,0.4,19.8,124.0,315.0,0.0,1.1,0.0,ティー | TEAVANA™,52.0,46.7,54.1,55.6,48.2,54.1,46.2,43.8,45.6,29.2,52.1,44.517
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,カモミール ティー ラテ,アーモンドミルク,141.0,1.1,7.4,19.4,0.4,3.0,16.4,154.0,57.0,0.0,4.7,0.0,ティー | TEAVANA™,38.3,71.9,60.2,36.1,48.1,54.1,42.7,43.8,50.5,29.2,51.625,44.733
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,カモミール ティー ラテ,オーツミルク,174.0,2.3,6.3,27.6,0.3,0.9,26.7,121.0,88.0,0.0,0.6,0.0,ティー | TEAVANA™,41.6,51.5,53.5,38.4,47.3,48.7,53.3,43.8,44.9,29.2,46.25,44.533
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,カモミール ティー ラテ,ブレべ,460.0,4.8,38.3,24.2,0.2,0.0,24.2,94.0,236.0,0.4,24.3,0.0,ティー | TEAVANA™,48.3,42.8,48.0,49.6,69.4,43.4,50.7,74.0,77.0,29.2,47.175,57.283
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,アイスティー（パッション）,,4.0,0.0,0.0,1.3,0.0,0.0,1.3,0.0,36.0,0.0,0.0,0.0,ティー | TEAVANA™,35.4,42.8,28.9,34.5,43.0,32.7,27.1,43.8,44.1,29.2,35.4,36.65
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,イングリッシュ ブレックファスト ティー ラテ,ミルク,184.0,6.6,6.3,25.1,0.2,0.0,25.1,80.0,339.0,0.2,3.7,101.0,ティー | TEAVANA™,53.1,42.8,45.1,57.4,47.3,43.4,51.6,58.9,49.1,61.7,49.6,52.0
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,イングリッシュ ブレックファスト ティー ラテ,低脂肪タイプ,161.0,6.6,3.4,25.7,0.3,0.0,25.7,128.0,374.0,0.1,2.0,101.0,ティー | TEAVANA™,53.1,42.8,54.9,60.0,45.3,48.7,52.3,51.4,46.8,61.7,52.7,51.033
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,イングリッシュ ブレックファスト ティー ラテ,無脂肪乳,138.0,6.6,0.5,26.3,0.4,0.0,26.3,175.0,409.0,0.0,0.3,101.0,ティー | TEAVANA™,53.1,42.8,64.4,62.7,43.3,54.1,52.9,43.8,44.5,61.7,55.75,50.05
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,イングリッシュ ブレックファスト ティー ラテ,豆乳（調製豆乳）,176.0,6.2,7.5,20.9,0.4,0.4,20.5,118.0,354.0,0.0,1.1,101.0,ティー | TEAVANA™,52.0,46.7,52.9,58.5,48.2,54.1,46.9,43.8,45.6,61.7,52.525,50.05
ビバレッジ,STARBUCKS COFFEE,ティー | TEAVANA™,イングリッシュ ブレックファスト ティー ラテ,アーモンドミルク,146.0,1.1,7.4,20.1,0.4,3.0,17.1,148.0,95.0,0.0,4.7,101.0,ティー | TEAVANA™,38.3,71.9,59.0,38.9,48.1,54.1,43.4,43.8,50.5,61.7,52.025,50.267
