大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,商品カテゴリ２,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,カフェイン_偏差値,健康偏差値,不健康偏差値
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,無脂肪乳,73.0,6.5,0.5,10.6,0.4,0.3,10.2,159.0,444.0,0.0,0.3,80.0,エスプレッソ,48.2,42.2,47.7,48.3,41.0,46.9,39.4,42.7,42.8,47.5,46.6,43.383
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,豆乳（調製豆乳）,107.0,6.1,6.9,5.6,0.3,0.7,4.9,107.0,393.0,0.0,1.0,80.0,エスプレッソ,47.1,45.0,40.7,45.7,45.2,41.9,35.6,42.7,43.5,47.5,44.625,42.733
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,アーモンドミルク,80.0,1.4,6.8,4.8,0.3,3.1,1.8,134.0,154.0,0.0,4.3,80.0,エスプレッソ,33.5,61.4,44.3,33.2,45.1,41.9,33.4,42.7,46.8,47.5,43.1,42.9
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,オーツミルク,109.0,2.5,5.8,12.3,0.3,1.2,11.2,104.0,183.0,0.0,0.6,80.0,エスプレッソ,36.7,48.4,40.3,34.7,44.5,41.9,40.1,42.7,43.1,47.5,40.025,43.3
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（ホット）,ブレべ,373.0,4.8,35.3,9.3,0.2,0.3,9.0,79.0,319.0,0.4,22.4,80.0,エスプレッソ,43.3,42.2,37.0,41.8,63.6,37.0,38.5,65.9,64.6,47.5,41.075,52.85
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（アイス）,ミルク,142.0,10.2,4.4,15.6,0.5,0.3,15.3,198.0,598.0,0.1,2.5,80.0,エスプレッソ,59.0,42.2,52.9,56.3,43.6,51.8,43.0,48.5,45.0,47.5,52.6,46.567
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（アイス）,低脂肪タイプ,128.0,10.2,2.6,16.0,0.6,0.3,15.7,228.0,620.0,0.1,1.5,80.0,エスプレッソ,59.0,42.2,56.9,57.5,42.4,56.8,43.3,48.5,44.0,47.5,53.9,47.083
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（アイス）,無脂肪乳,114.0,10.2,0.8,16.4,0.6,0.3,16.1,258.0,642.0,0.0,0.4,80.0,エスプレッソ,59.0,42.2,60.9,58.6,41.2,56.8,43.6,42.7,42.9,47.5,55.175,45.783
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（アイス）,豆乳（調製豆乳）,138.0,10.0,5.1,13.0,0.6,0.5,12.4,222.0,607.0,0.0,0.9,80.0,エスプレッソ,58.4,43.6,56.1,56.8,44.0,56.8,41.0,42.7,43.4,47.5,53.725,45.9
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,カプチーノ（アイス）,アーモンドミルク,119.0,6.7,5.1,12.5,0.6,2.2,10.3,241.0,445.0,0.0,3.2,80.0,エスプレッソ,48.8,55.2,58.6,48.4,44.0,56.8,39.5,42.7,45.7,47.5,52.75,46.033
