大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用,タンパク質_per_エネルギー,食物繊維_per_エネルギー,ナトリウム_per_エネルギー,カリウム_per_エネルギー,脂質_per_エネルギー,食塩相当量_per_エネルギー,糖質_per_エネルギー,トランス脂肪酸_per_エネルギー,飽和脂肪酸_per_エネルギー,カフェイン_per_エネルギー,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,健康偏差値,不健康偏差値
ビバレッジ,ティー｜TEAVANA™,ゼンクラウド ウーロン ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785492820/4524785492820_11_s.jpg,image_19adf498-9aab-49b8-8f8b-9f356b5a6b52.png,https://menu.starbucks.co.jp/4524785492820,180.0,6.8,6.3,24.2,0.2,0.0,24.2,80.0,280.0,0.2,3.7,71.0,,0.0377777777777777,0.0,0.4444444444444444,1.5555555555555556,0.0349999999999999,0.0011111111111111,0.1344444444444444,0.0011111111111111,0.0205555555555555,0.3944444444444444,53.9,44.0,45.5,47.4,47.9,47.2,52.2,65.3,52.7,47.7,53.06
ビバレッジ,ティー｜TEAVANA™,アイスティー(ブラック),https://asset.menu.starbucks.co.jp/public/sku_images/4524785024748/4524785024748_11_s.jpg,image_8e498cdc-7350-4cac-b909-aa6e07fdfff7.png,https://menu.starbucks.co.jp/4524785024748,4.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,43.0,0.0,0.0,61.0,,0.0,0.0,0.0,10.75,0.0,0.0,0.2,0.0,0.0,15.25,39.6,44.0,39.6,61.2,32.7,43.6,64.9,40.9,34.0,46.1,43.22
ビバレッジ,ティー｜TEAVANA™,アイスティー(パッション),https://asset.menu.starbucks.co.jp/public/sku_images/4524785349193/4524785349193_11_s.jpg,image_69848856-dece-42e2-936a-076b851afb98.png,https://menu.starbucks.co.jp/4524785349193,4.0,0.0,0.0,1.3,0.0,0.0,1.3,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.325,0.0,0.0,0.0,39.6,44.0,39.6,58.6,32.7,43.6,89.2,40.9,34.0,45.45,48.08
ビバレッジ,ティー｜TEAVANA™,イングリッシュ ブレックファスト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305328/4524785305328_11_s.jpg,image_d90032b8-5eda-41ed-9498-01cb30454155.png,https://menu.starbucks.co.jp/4524785305328,5.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,60.0,0.0,0.0,101.0,,0.0,0.0,0.0,12.0,0.0,0.0,0.18,0.0,0.0,20.2,39.6,44.0,39.6,63.1,32.7,43.6,61.0,40.9,34.0,46.575,42.44
ビバレッジ,ティー｜TEAVANA™,アール グレイ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305366/4524785305366_11_s.jpg,image_c477d40b-735a-46d5-b7c5-042adc55fe0c.png,https://menu.starbucks.co.jp/4524785305366,2.0,0.0,0.0,0.7,0.0,0.0,0.7,0.0,48.0,0.0,0.0,78.0,,0.0,0.0,0.0,24.0,0.0,0.0,0.35,0.0,0.0,39.0,39.6,44.0,39.6,81.2,32.7,43.6,94.0,40.9,34.0,51.1,49.04
ビバレッジ,ティー｜TEAVANA™,カモミール,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305571/4524785305571_11_s.jpg,image_e49d3601-6d4c-4c96-aa1a-ed38c908b34c.png,https://menu.starbucks.co.jp/4524785305571,0.0,0.0,0.0,0.2,0.01,0.0,0.2,6.0,22.0,0.0,0.0,0.0,,,,,,,,,,,,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
ビバレッジ,ティー｜TEAVANA™,ユースベリー®,https://asset.menu.starbucks.co.jp/public/sku_images/4524785309104/4524785309104_11_s.jpg,image_d1e0d51d-2345-4a14-b10c-764b2dee6223.png,https://menu.starbucks.co.jp/4524785309104,5.0,0.0,0.0,0.9,0.008,0.0,0.9,3.0,21.0,0.0,0.0,9.0,,0.0,0.0,0.6,4.2,0.0,0.0016,0.18,0.0,0.0,1.8,39.6,44.0,47.6,51.4,32.7,48.7,61.0,40.9,34.0,45.65,43.46
ビバレッジ,ティー｜TEAVANA™,ほうじ茶,https://asset.menu.starbucks.co.jp/public/sku_images/4524785155473/4524785155473_11_s.jpg,image_e1327a7c-7305-45d6-8620-0c9e397b86b0.png,https://menu.starbucks.co.jp/4524785155473,3.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,105.0,0.0,0.0,68.0,,0.0999999999999999,0.0,0.0,35.0,0.0,0.0,0.0999999999999999,0.0,0.0,22.666666666666668,77.5,44.0,39.6,97.8,32.7,43.6,45.5,40.9,34.0,64.725,39.34
ビバレッジ,ティー｜TEAVANA™,ゼンクラウド ウーロン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785492868/4524785492868_11_s.jpg,image_45e34da0-12b5-4995-b229-65a8ef5c7ccd.png,https://menu.starbucks.co.jp/4524785492868,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,115.4,44.0,39.6,45.0,32.7,43.6,26.1,40.9,34.0,61.0,35.46
ビバレッジ,ティー｜TEAVANA™,ゆず & シトラス ラベンダー セージ ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445499/4524785445499_11_s.jpg,image_9d589642-5d94-4106-bc0a-e01a4f81c99b.png,https://menu.starbucks.co.jp/4524785445499,157.0,0.2,0.1,40.1,0.2,,,,,,,,,0.0012738853503184,,,,0.0006369426751592,0.0012738853503184,,,,,40.1,50.0,50.0,50.0,33.0,47.7,50.0,50.0,50.0,47.525,46.14
ビバレッジ,ティー｜TEAVANA™,ストロベリー & パッション ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445529/4524785445529_11_s.jpg,image_16f586be-d8c6-44a2-ac93-1a27570220c9.png,https://menu.starbucks.co.jp/4524785445529,96.0,0.1,0.5,22.9,0.01,,,,,,,,,0.0010416666666666,,,,0.0052083333333333,0.0001041666666666,,,,,40.0,50.0,50.0,50.0,34.9,43.9,50.0,50.0,50.0,47.5,45.76
ビバレッジ,ティー｜TEAVANA™,和三蜜 抹茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445628/4524785445628_11_s.jpg,image_13f36af7-e32f-4aa2-8a23-6ec501b541bb.png,https://menu.starbucks.co.jp/4524785445628,309.0,13.6,11.7,38.6,0.3,,,,,,,,,0.0440129449838187,,,,0.0378640776699029,0.0009708737864077,,,,,56.3,50.0,50.0,50.0,49.1,46.7,50.0,50.0,50.0,51.575,49.16
ビバレッジ,ティー｜TEAVANA™,和三蜜 ほうじ茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445611/4524785445611_11_s.jpg,image_52ea7269-fe34-4ba3-a66e-ce76259c35b2.png,https://menu.starbucks.co.jp/4524785445611,310.0,13.2,11.8,39.0,0.3,,,,,,,,,0.0425806451612903,,,,0.0380645161290322,0.0009677419354838,,,,,55.7,50.0,50.0,50.0,49.2,46.7,50.0,50.0,50.0,51.425,49.18
ビバレッジ,ティー｜TEAVANA™,ジャパニーズ チャイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785498372/4524785498372_11_s.jpg,image_80e57192-dd67-4656-b14e-5fa8aa293c8b.png,https://menu.starbucks.co.jp/4524785498372,316.0,12.5,11.5,41.5,0.3,,,,,,,,,0.0395569620253164,,,,0.0363924050632911,0.0009493670886075,,,,,54.6,50.0,50.0,50.0,48.5,46.6,50.0,50.0,50.0,51.15,49.02
