大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
ビバレッジ,ティー｜TEAVANA™,ゆず & シトラス ラベンダー セージ ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445499/4524785445499_11_s.jpg,,https://menu.starbucks.co.jp/4524785445499,157kcal,0.2g,0.1g,40.1g,0.2g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,ストロベリー & パッション ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445529/4524785445529_11_s.jpg,,https://menu.starbucks.co.jp/4524785445529,96kcal,0.1g,0.5g,22.9g,0.01g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,和三蜜 抹茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445628/4524785445628_11_s.jpg,,https://menu.starbucks.co.jp/4524785445628,309kcal,13.6g,11.7g,38.6g,0.3g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,和三蜜 ほうじ茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785445611/4524785445611_11_s.jpg,,https://menu.starbucks.co.jp/4524785445611,310kcal,13.2g,11.8g,39.0g,0.3g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,ジャパニーズ チャイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785498372/4524785498372_11_s.jpg,,https://menu.starbucks.co.jp/4524785498372,316kcal,12.5g,11.5g,41.5g,0.3g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,アイスティー（シトラス ラベンダー セージ）,https://asset.menu.starbucks.co.jp/public/sku_images/4524785519381/4524785519381_11_s.jpg,,https://menu.starbucks.co.jp/4524785519381,40kcal,0.0g,0.0g,10.8g,0.1g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,アール グレイ クラシックティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785538993/4524785538993_11_s.jpg,,https://menu.starbucks.co.jp/4524785538993,300kcal,12.9g,11.7g,37.0g,0.3g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,シトラス ラベンダー セージ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785533394/4524785533394_11_s.jpg,,https://menu.starbucks.co.jp/4524785533394,14kcal,0.0g,0.0g,4.0g,0.04g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,アイスティー(アール グレイ),https://asset.menu.starbucks.co.jp/public/sku_images/4524785538948/4524785538948_11_s.jpg,,https://menu.starbucks.co.jp/4524785538948,2kcal,0.0g,0.0g,0.6g,0.0g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,ジョイフルメドレー フルリーフ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785557222/4524785557222_11_s.jpg,,https://menu.starbucks.co.jp/4524785557222,20kcal,1.0g,1.0g,5.0g,0.01g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,ジョイフルメドレー アプリコット ＆ ムース ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785484887/4524785484887_11_s.jpg,,https://menu.starbucks.co.jp/4524785484887,211kcal,3.9g,8.5g,31.3g,0.1g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,ルワンダ ブラック ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785550834/4524785550834_11_s.jpg,,https://menu.starbucks.co.jp/4524785550834,7kcal,0.6g,0.1g,1.6g,0.0g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,ルイボス ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785550827/4524785550827_11_s.jpg,,https://menu.starbucks.co.jp/4524785550827,184kcal,6.2g,5.8g,27.0g,0.2g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,マジェスティック チャイ ウーロン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785533400/4524785533400_11_s.jpg,,https://menu.starbucks.co.jp/4524785533400,10kcal,1.0g,1.0g,1.0g,0.3g,-,-,-,-,-,-,-,
フード,デザート,ニューヨークチーズケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785308985/4524785308985_11_s.jpg,,https://menu.starbucks.co.jp/4524785308985,414kcal,6.6g,29.9g,30.1g,0.7g,1.0g,29.1g,258mg,109mg,0.3g,12.8g,,なし
フード,デザート,米粉の抹茶ロールケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785555723/4524785555723_11_s.jpg,,https://menu.starbucks.co.jp/4524785555723,251kcal,3.4g,12.2g,32.4g,0.3g,0.7g,31.7g,133mg,149mg,0.0g,7.3g,,なし
フード,デザート,オレンジのカスタードタルト,https://asset.menu.starbucks.co.jp/public/sku_images/4524785555716/4524785555716_11_s.jpg,,https://menu.starbucks.co.jp/4524785555716,377kcal,5.6g,25.2g,32.6g,0.1g,1.4g,31.2g,56mg,162mg,0.2g,11.1g,,なし
フード,デザート,チョコレートクランブル ムースケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785553378/4524785553378_11_s.jpg,,https://menu.starbucks.co.jp/4524785553378,371kcal,4.2g,23.6g,36.4g,0.1g,2.1g,34.3g,24mg,192mg,0.1g,11.8g,,なし
フード,デザート,ナッツ＆キャラメルチーズケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785553415/4524785553415_11_s.jpg,,https://menu.starbucks.co.jp/4524785553415,430kcal,5.8g,29.4g,36.4g,0.4g,1.4g,35.0g,152mg,121mg,0.2g,13.2g,,なし
フード,デザート,ホワイトモカケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785453470/4524785453470_11_s.jpg,,https://menu.starbucks.co.jp/4524785453470,302kcal,3.9g,21.1g,24.9g,0.2g,0.8g,24.1g,57mg,96mg,0.0g,9.0g,,あり（アルコール分0.2%）
フード,デザート,宇治抹茶シフォンケーキ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785488816/4524785488816_11_s.jpg,,https://menu.starbucks.co.jp/4524785488816,298kcal,4.2g,19.6g,26.5g,0.2g,0.6g,25.9g,65mg,101mg,0.1g,10.3g,,なし
フード,ペストリー,チョコレートチャンクスコーン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785496972/4524785496972_11_s.jpg,,https://menu.starbucks.co.jp/4524785496972,358kcal,6.3g,17.4g,45.1g,1.2g,2.2g,42.9g,472mg,141mg,0.1g,9.1g,,なし
フード,ペストリー,キャラメルトフィースコーン,https://asset.menu.starbucks.co.jp/public/sku_images/4524785523043/4524785523043_11_s.jpg,,https://menu.starbucks.co.jp/4524785523043,325kcal,5.5g,13.5g,46.1g,0.5g,1.3g,44.8g,200mg,99mg,0.1g,6.4g,,なし
フード,ペストリー,シナモンロール,https://asset.menu.starbucks.co.jp/public/sku_images/4524785508361/4524785508361_11_s.jpg,,https://menu.starbucks.co.jp/4524785508361,549kcal,9.0g,29.1g,64.1g,0.8g,2.1g,62.0g,335mg,114mg,0.1g,11.3g,,なし
フード,ペストリー,アメリカンワッフル,https://asset.menu.starbucks.co.jp/public/sku_images/4524785466562/4524785466562_11_s.jpg,,https://menu.starbucks.co.jp/4524785466562,248kcal,6.3g,11.9g,29.1g,0.8g,0.6g,28.5g,333mg,88mg,0.1g,4.8g,,なし
フード,ペストリー,シュガードーナツ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785508385/4524785508385_11_s.jpg,,https://menu.starbucks.co.jp/4524785508385,360kcal,4.5g,21.4g,38.0g,0.5g,1.1g,36.9g,207mg,43mg,0.1g,7.8g,,なし
